,Date,Sentiment,Company
0,1/23/17,1.288141499,Apple
1,1/23/17,-5.885922839,Apple
2,1/23/17,1.912650976,Apple
3,1/23/17,-5.748706585,Apple
4,1/23/17,-1.921919401,Apple
5,1/23/17,-9.216101522,Apple
6,1/23/17,2.148584952,Apple
7,1/23/17,5.657472302,Apple
8,1/23/17,-10.51196325,Apple
9,1/23/17,-6.548156216,Apple
10,1/24/17,2,Apple
11,1/24/17,2,Apple
12,1/24/17,-12.83178897,Apple
13,1/24/17,-4.229223165,Apple
14,1/24/17,-4.229223165,Apple
15,1/24/17,-8.256504086,Apple
16,1/24/17,-10.76412345,Apple
17,1/24/17,1.925030156,Apple
18,1/24/17,-10.76412345,Apple
19,1/24/17,5.272702341,Apple
20,1/25/17,-13.63543857,Apple
21,1/25/17,0.671776836,Apple
22,1/25/17,-12.14677848,Apple
23,1/25/17,-1.741182538,Apple
24,1/25/17,10.82830855,Apple
25,1/25/17,0.117118148,Apple
26,1/25/17,-14.26231017,Apple
27,1/25/17,-11.26231017,Apple
28,1/25/17,8.43696642,Apple
29,1/25/17,0.612889095,Apple
30,1/26/17,-15.22354919,Apple
31,1/26/17,-14.97727742,Apple
32,1/26/17,16.99685991,Apple
33,1/26/17,-6.890883218,Apple
34,1/26/17,-6.775494731,Apple
35,1/26/17,-8.106326409,Apple
36,1/26/17,-31.68204776,Apple
37,1/26/17,-26.22882794,Apple
38,1/26/17,-5.501131894,Apple
39,1/26/17,-4.034542157,Apple
40,1/27/17,-11.85517671,Apple
41,1/27/17,-1.479843727,Apple
42,1/27/17,8.837930622,Apple
43,1/27/17,7.26392308,Apple
44,1/27/17,5.796659492,Apple
45,1/27/17,1.642676681,Apple
46,1/30/17,-10.67054682,Apple
47,1/30/17,9.20541341,Apple
48,1/30/17,8.235102011,Apple
49,1/31/17,-7.237073954,Apple
50,1/31/17,0.431397067,Apple
51,1/31/17,-19.39356553,Apple
52,1/31/17,-6.219880141,Apple
53,1/31/17,0.822962605,Apple
54,1/31/17,-2.00527762,Apple
55,1/31/17,0.768936626,Apple
56,1/31/17,1.847257178,Apple
57,1/31/17,-1,Apple
58,1/31/17,-5.332582359,Apple
59,2/1/17,-0.754402018,Apple
60,2/1/17,-0.376541719,Apple
61,2/1/17,-0.376541719,Apple
62,2/1/17,0.382878333,Apple
63,2/1/17,-1.884468313,Apple
64,2/1/17,9.427453749,Apple
65,2/1/17,7.298772855,Apple
66,2/1/17,2.496107582,Apple
67,2/1/17,-1.007460453,Apple
68,2/1/17,-3,Apple
69,2/2/17,-1.609883533,Apple
70,2/2/17,0.74664358,Apple
71,2/2/17,0.518683298,Apple
72,2/2/17,1.596844005,Apple
73,2/2/17,7.405037799,Apple
74,2/2/17,5.774862005,Apple
75,2/2/17,7.819251361,Apple
76,2/2/17,6.026065198,Apple
77,2/2/17,-2.220126605,Apple
78,2/2/17,-4.611402804,Apple
79,2/3/17,5.749797628,Apple
80,2/3/17,6.278330806,Apple
81,2/3/17,-2.828427125,Apple
82,2/3/17,-2.435336511,Apple
83,2/3/17,4.13330084,Apple
84,2/3/17,-0.417455119,Apple
85,2/3/17,2.141806753,Apple
86,2/3/17,0,Apple
87,2/3/17,0.411906271,Apple
88,2/3/17,-0.381345714,Apple
89,2/6/17,-0.627957516,Apple
90,2/6/17,-3.008649705,Apple
91,2/6/17,5.018859723,Apple
92,2/6/17,-1.015622709,Apple
93,2/6/17,4.355755838,Apple
94,2/6/17,1.354462143,Apple
95,2/6/17,-15.2983194,Apple
96,2/6/17,-0.223708759,Apple
97,2/6/17,2.776291241,Apple
98,2/6/17,-0.127457489,Apple
99,2/7/17,2,Apple
100,2/7/17,-0.684479332,Apple
101,2/7/17,3.373499548,Apple
102,2/7/17,2.355755838,Apple
103,2/8/17,5.356002883,Apple
104,2/8/17,7.02699753,Apple
105,2/9/17,2.414213562,Apple
106,2/9/17,-19.42695425,Apple
107,2/9/17,2.414213562,Apple
108,2/9/17,3,Apple
109,2/9/17,4.161556853,Apple
110,2/9/17,-22.2245588,Apple
111,2/9/17,-8.859499128,Apple
112,2/10/17,-12.72948333,Apple
113,2/10/17,-1.750933238,Apple
114,2/13/17,4.387870913,Apple
115,2/13/17,10.29193554,Apple
116,2/13/17,7.522381802,Apple
117,2/13/17,6.068427193,Apple
118,2/13/17,6.094678982,Apple
119,2/13/17,4.521918192,Apple
120,2/13/17,5.278537424,Apple
121,2/13/17,7.597024775,Apple
122,2/13/17,14.02587663,Apple
123,2/13/17,0.373979088,Apple
124,2/14/17,3.662487488,Apple
125,2/14/17,7.055981241,Apple
126,2/14/17,4.083354464,Apple
127,2/14/17,0,Apple
128,2/14/17,2.699707317,Apple
129,2/14/17,7.144232915,Apple
130,2/14/17,3.716049783,Apple
131,2/14/17,0,Apple
132,2/14/17,2.326207769,Apple
133,2/14/17,2.39390232,Apple
134,2/15/17,-14.87283444,Apple
135,2/15/17,7.809185227,Apple
136,2/15/17,1.694420984,Apple
137,2/15/17,2.370117272,Apple
138,2/15/17,3.053378726,Apple
139,2/15/17,-0.424425073,Apple
140,2/15/17,2.065280291,Apple
141,2/15/17,2.921720085,Apple
142,2/15/17,2.370117272,Apple
143,2/15/17,2.370117272,Apple
144,2/16/17,2.927262456,Apple
145,2/16/17,7.291167473,Apple
146,2/16/17,0.117118148,Apple
147,2/16/17,0,Apple
148,2/16/17,-27.01902297,Apple
149,2/16/17,-16.73620776,Apple
150,2/16/17,-13.12295825,Apple
151,2/17/17,0.931846547,Apple
152,2/17/17,-2.121173817,Apple
153,2/17/17,0.052070812,Apple
154,2/17/17,2.924168624,Apple
155,2/17/17,0.931846547,Apple
156,2/17/17,1.931846547,Apple
157,2/17/17,2.931846547,Apple
158,2/17/17,-1.068153453,Apple
