,Date,Company,Num_aticles,Neg_news_percent,Pos_news_percent,Neut_article_percent,COD_Price,Avr_sentiment,Positive
79,2019-01-18,Exxon,17,-23,76,0,0.45799999999999996,7.908126873925576,True
80,2018-12-20,Verizon,32,-21,78,0,-3.0380000000000003,5.577857615065821,True
81,2018-12-21,Verizon,26,-23,76,0,-0.743,10.16196058013778,True
82,2018-12-24,Verizon,16,-18,81,0,-3.8310000000000004,9.288927773430581,True
83,2018-12-26,Verizon,23,-47,52,0,4.7780000000000005,0.6975681310062063,True
84,2018-12-27,Verizon,50,-54,46,0,0.43700000000000006,-1.218099447902441,False
85,2018-12-28,Verizon,37,-32,64,2,-1.117,3.6308094522151655,True
86,2018-12-31,Verizon,36,-25,72,2,0.028999999999999998,7.175562224900251,True
87,2019-01-02,Verizon,24,-25,75,0,2.2,6.701817960463537,True
88,2019-01-03,Verizon,24,-12,87,0,-1.535,6.982020335228422,True
89,2019-01-04,Verizon,42,-9,88,2,3.687,7.2622801189511605,True
90,2019-01-07,Verizon,55,-16,83,0,0.52,8.400085320015565,True
91,2019-01-08,Verizon,100,-24,75,1,0.727,3.8905770423285055,True
92,2019-01-09,Verizon,93,-13,83,2,0.527,8.540318581818417,True
93,2019-01-10,Verizon,50,-10,90,0,-0.511,10.022904104503716,True
94,2019-01-11,Verizon,46,-19,76,4,-0.45799999999999996,7.730009915971202,True
95,2019-01-14,Verizon,59,-16,81,1,-0.125,6.278470284902533,True
96,2019-01-15,Verizon,53,-11,83,5,0.055999999999999994,9.727225869041126,True
97,2019-01-16,Verizon,81,-16,83,0,-0.042,5.949314681683526,True
98,2019-01-17,Verizon,56,-16,83,0,0.684,8.84972188282772,True
99,2019-01-18,Verizon,67,-31,68,0,1.192,3.1709801472873154,True
