,Date,Company,COD_Price,Avr_sentiment,Sum_sentiment
0,2017-01-23,Apple,0.067,-2.8825920084000005,-28.825920084000003
1,2017-01-24,Apple,-0.092,-3.9877253789,-39.877253789
2,2017-01-25,Apple,1.5919999999999999,-3.2380960879000007,-32.38096087900001
3,2017-01-26,Apple,0.049,-10.2423220809,-102.423220809
4,2017-01-27,Apple,0.008,1.7010282396666663,10.206169437999998
5,2017-01-30,Apple,-0.262,2.2566562003333335,6.769968601
6,2017-01-31,Apple,-0.23,-3.7317826128,-37.317826128
7,2017-02-01,Apple,6.098,1.2205798297000001,12.205798297000001
8,2017-02-02,Apple,-0.171,2.1445974304,21.445974304
9,2017-02-03,Apple,0.428,1.2652577829,12.652577829
10,2017-02-06,Apple,0.937,-0.6796346633000001,-6.796346633000001
11,2017-02-07,Apple,0.9520000000000001,1.7611940135000002,7.044776054000001
12,2017-02-08,Apple,0.38799999999999996,6.191500206500001,12.383000413000001
13,2017-02-09,Apple,0.723,-5.503004028714286,-38.521028201
14,2017-02-10,Apple,-0.22699999999999998,-7.240208284,-14.480416568
15,2017-02-13,Apple,0.8859999999999999,6.616263053900001,66.162630539
16,2017-02-14,Apple,1.298,3.3081923297,33.081923297
17,2017-02-15,Apple,0.363,0.9357077616,9.357077616
18,2017-02-16,Apple,-0.122,-6.648948700428572,-46.542640903000006
19,2017-02-17,Apple,0.27699999999999997,1.1943031682,11.943031682
20,2017-02-21,Apple,0.722,0.7619305767777778,6.857375191
21,2017-02-22,Apple,0.3,3.2731005645714286,22.911703952
22,2017-02-23,Apple,-0.423,3.793791744714286,26.556542213
23,2017-02-24,Apple,0.095,1.77211792325,7.088471693
24,2017-02-27,Apple,0.198,2.6578217077999993,26.578217077999994
25,2017-02-28,Apple,0.044000000000000004,1.3975105889,13.975105888999998
26,2017-03-01,Apple,2.044,2.1062148855,8.424859542
27,2017-03-02,Apple,-0.594,4.761890234,19.047560936
28,2017-03-03,Apple,0.59,2.099772447,4.199544894
29,2017-03-06,Apple,-0.315,-2.8753662757142857,-20.12756393
30,2017-03-07,Apple,0.129,-0.9096465850000003,-2.7289397550000007
31,2017-03-08,Apple,-0.373,-1.3881870464999997,-2.7763740929999994
32,2017-03-09,Apple,-0.23,0.5587754810000001,5.028979329000001
33,2017-03-10,Apple,0.332,15.526150138,31.052300276
34,2017-03-13,Apple,0.043,3.5238739045000003,7.0477478090000005
35,2017-03-14,Apple,-0.151,-7.9818369335,-15.963673867
36,2017-03-15,Apple,1.058,-2.968438217333333,-8.905314652
37,2017-03-16,Apple,0.16399999999999998,-6.692305557,-13.384611114
38,2017-03-17,Apple,-0.498,4.057485282625,32.459882261
39,2017-03-20,Apple,1.05,-1.2752984329000001,-12.752984329
40,2017-03-21,Apple,-1.145,2.905372380222222,26.148351421999998
41,2017-03-22,Apple,1.13,0.9674661237999999,9.674661237999999
42,2017-03-23,Apple,-0.354,13.15117809325,52.604712373
43,2017-03-24,Apple,-0.19899999999999998,2.0286428108,10.143214054000001
44,2017-03-27,Apple,0.171,4.563432182666667,13.690296548000001
45,2017-03-28,Apple,2.073,1.9531913451666665,11.719148071
46,2017-03-29,Apple,0.223,5.494261024,32.965566144
47,2017-03-30,Apple,-0.132,4.488002123166667,26.928012739
48,2017-03-31,Apple,-0.188,-1.1258611304,-11.258611303999999
49,2017-04-03,Apple,0.027999999999999997,1.6673019276,16.673019276
50,2017-04-04,Apple,0.745,-0.8611137963333332,-5.166682777999999
51,2017-04-05,Apple,-0.518,-4.90502463175,-19.620098527
52,2017-04-06,Apple,-0.25,-8.475648363000001,-84.75648363
53,2017-04-07,Apple,-0.223,-5.615492006,-5.615492006
54,2017-04-10,Apple,-0.11900000000000001,-2.0649570045,-4.129914009
55,2017-04-11,Apple,-1.0759999999999998,-8.279765413100002,-82.79765413100002
56,2017-04-12,Apple,0.12,-12.892627817400001,-64.463139087
57,2017-04-13,Apple,-0.529,-0.5030348960999996,-5.030348960999996
58,2017-04-17,Apple,0.5529999999999999,1.7970354853333335,10.782212912
59,2017-04-18,Apple,-0.444,-0.09119286449999997,-0.9119286449999997
60,2017-04-19,Apple,-0.368,-0.7659174763000002,-7.659174763000002
61,2017-04-20,Apple,1.251,-3.931067545625,-31.448540365
62,2017-04-21,Apple,-0.11900000000000001,-2.0821762598,-10.410881299000001
63,2017-04-24,Apple,0.963,1.8686327111428576,13.080428978000002
64,2017-04-25,Apple,0.62,-3.7138270117142858,-25.996789082
65,2017-04-26,Apple,-0.588,0.4489248645,0.897849729
66,2017-04-27,Apple,0.077,2.5639382408999998,25.639382408999996
67,2017-04-28,Apple,-0.09699999999999999,-0.8295361915999994,-8.295361915999994
68,2017-05-01,Apple,2.04,1.559607138444444,14.036464245999998
69,2017-05-02,Apple,0.634,-3.797245412428572,-26.580717887000002
70,2017-05-03,Apple,-0.305,-3.780731192,-37.807311920000004
71,2017-05-04,Apple,-0.36,2.5184622801,25.184622801
72,2017-05-05,Apple,1.6580000000000001,4.003903417,40.03903417
73,2017-05-08,Apple,2.719,5.677836090285715,39.744852632000004
74,2017-05-09,Apple,0.64,3.7532765853,37.532765853
75,2017-05-10,Apple,-0.474,5.160849289300001,51.608492893000005
76,2017-05-11,Apple,0.865,2.9055591072999998,29.055591073
77,2017-05-12,Apple,1.3969999999999998,3.3674708316,33.674708316
78,2017-05-15,Apple,-0.256,2.0799665783333334,12.47979947
79,2017-05-16,Apple,-0.14800000000000002,1.8168615524,18.168615524
80,2017-05-17,Apple,-3.358,-4.5243153970000005,-45.24315397
